노선ID,노선명
41110004,303번(성남~신설동)
41110005,500번(석수역~을지로입구)
41110006,503번(광명공영차고지~서울역)
41110007,504번(광명공영차고지~남대문)
41110008,505번(노온사동~서울역)
41110011,"702번(A,서오릉방향,서오릉~종로1가)"
41110013,704번(북한산성~서울역)
41110016,750B번(은평차고지~서울대)
41110023,1155번(남양주청학리~석계역)
41110024,1156번(퇴계원~석계역)
41110027,2227번(중랑공영차고지~중곡역)
41110033,4419번(송파차고지~압구정역)
41110040,5413번(시흥~고속터미널)
41110041,771(대화동~디지털미디어시티역)
41110042,740번(덕은동~삼성역)
41110043,5530번(군포공영차고지~사당역)
41110044,5531번(군포공영차고지~노량진)
41110047,5534번(광명공영차고지~여의도)
41110048,5535번(하안동~노량진)
41110049,5536번(하안동~노량진)
41110050,5623번(군포 공영차고지~여의도)
41110051,5624번(군포버스공영차고지~구로디지탈단지역)
41110052,5625번(안양~영등포역(영등포시장))
41110053,5626번(안양~온수동)
41110054,5627번(노온사동~구로디지털단지역)
41110057,5630번(광명공영차고지~목동역)
41110058,5713번(안양비산동차고지~신촌기차역)
41110059,5714번(광명공영차고지~이대입구)
41110060,6513번(철산동~서울대)
41110061,6616(철산동~온수동)
41110062,6635번(광명공영차고지~구로디지탈단지역)
41110064,6637번(광명 노온사동~목동)
41110065,6638번(철산동~오목교)
41110067,673번(상동기점~이대부고)
41110070,7016번(은평차고지~상명대)
41110071,7017번(은평공영차고지~롯데백화점)
41110072,7021번(은평공영차고지~롯데백화점)
41110077,7726번(덕은동~모래내삼거리)
41110078,7727번(설문동~신촌)
41110079,7728번(대화동~신촌)
41110086,7025번(은평차고지~종로)
41110087,440번(송파공영차고지~압구정동)
41110088,441번(월암공영차고지~신사역)
41110091,541번(군포공영차고지~강남역)
41110092,542번(군포버스공영차고지~신사역)
41110093,9711A번(킨텍스제2전시장~양재동)
41110102,9701번(가좌동~서울역)
41110104,9703번(킨텍스제2전시장~서울역)
41110106,9408번(성남 분당~영등포)
41110113,9403번(성남분당~을지로5가)
41110116,9709번(파주시 맥금동~서울역)
41110117,9707번(고양 가좌동~영등포역)
41110130,9401번(구미동~서울역)
41110137,9404번(분당구미~신사역)
41110147,700번(대화동~서울역)
41110150,N26번(중랑공영차고지~강서공영차고지)
41110151,N26번(강서공영차고지~중랑공영차고지)
41110152,N37번(송파공영차고지~진관공영차고지)
41110153,N37번(진관공영차고지~송파공영차고지)
41110200,강동02(가래여울~암사동서원마을)
41110205,507번(석수역~동대문문화공원)
41110206,"702번(B,용두초교방향,서오릉~종로1가)"
41110210,5633번(노온사동~순복음교회)
41110211,"661번(부천상동~영등포역,신세계백화점)"
41110213,540번(군포공영차고지~강남성모병원)
41110214,341번(하남공영차고지~강남역)
41110215,721번(북가좌동~건대입구역)
41110216,108번(양주 덕정~종로5가)
41110218,407번(송파공영차고지~동대문)
70000005,301번(영등포~을왕리)
70000008,300번(영등포~작전역)
70000010,9100번(용현동~양재역/강남역)
70000011,9200번(연수단지~양재역/강남역)
70000012,9300번(계산지구~양재역/강남역)
81000003,"전통시장(서울투어,동대문두타~동대문두타)"
81000004,셔틀(성균관대~혜화역)
91000005,"8772번(휴일,구파발~대서문입구)"
91000025,8541번(호압사~강남역)
91000033,8774번(구산동~서대문구청)
91000034,9714번(교하운정~서울역)
