노선ID,노선명
11110244,5519번(용천사~우방아파트)
11110249,5524번(난곡차고지~중앙대학)
11110250,5525번(시흥동~보라매공원)
11110251,5528번(가산동~사당역)
11110256,5615번(난곡~여의도)
11110257,5616번(가산동~등촌동)
11110258,5617번(시흥~구로디지털단지역)
11110259,5618번(구로동~구로동)
11110260,5619번(시흥동~신도림역)
11110261,5620번(시흥동~선유도역)
11110262,5621번(삼익아파트~구로공단역)
11110265,5712번(가산동~홍대입구역)
11110266,6211번(신월동~상왕십리)
11110267,6411번(구로동~개포동)
11110268,6511번(구로동~서울대)
11110269,6512번(구로동~서울대)
11110270,6514번(양천공영차고지~서울대)
11110271,6611번(거리공원~신도림역)
11110276,6617번(양천차고지~목동우성아파트)
11110279,6620번(양천공용차고지~당산역)
11110282,6623번(양천공영차고지~여의도)
11110285,6627번(양천공영차고지~월촌중학교)
11110287,6628번(외발산동~여의도)
11110288,6629번(방화동~영등포)
11110289,6630번(외발산동~영등포시장)
11110290,6631번(강서공영차고지~영등포역)
11110291,6632번(강서공영차고지~당산역)
11110294,6712번(방화동~대흥사거리)
11110295,6714번(양천공영차고지~이대부고)
11110296,6715번(신월동~상암동)
11110297,7011번(은평차고지~중구청)
11110302,7018번(북가좌동~광교)
11110304,7019번(은평공영차고지~시청(서소문))
11110306,7022번(구산동~서울역)
11110307,7211번(기자촌~신설동)
11110308,7611번(은평차고지~여의도)
11110309,7612번(홍은동~영등포)
11110310,7613번(구산동~여의도)
11110312,7711번(덕은동~홍대입구)
11110315,7713번(홍연2교~홍연2교)
11110320,7719번(북가좌동~녹번역)
11110321,7720번(구산동~신촌)
11110323,7722번(진관공영차고지~녹번역)
11110324,7723번(진관공영차고지~구파발역)
11110327,7730번(은평공영차고지~이북오도청)
11110329,710번(상암차고지~수유역)
11110330,05번(남산서울타워~남산서울타워)
11110331,1122번(상진운수차고지~원자력병원)
11110334,7013A(은평차고지~남대문시장)
11110335,7013B(은평차고지~남대문시장)
11110336,421번(염곡동~옥수동)
11110337,405번(염곡동~시청광장)
11110339,4319번(전원마을~잠실역)
11110340,502(월암공영차고지~한국은행신세계)
11110343,670번(온수동~디지털미디어시티역)
11110346,3011번(장지공영차고지~한남동)
11110348,672번(방화동~이대후문)
11110349,653(외발산동~가산디지털단지역)
11110350,3318번(강동차고지~미사강변도시~마천동)
11110351,333번(송파차고지~올림픽공원)
11110353,3319(장지공영차고지~잠실역)
11110354,7212번(은평차고지~극동그린아파트앞)
11110356,4412(개포동~삼성의료원)
11110358,2016번(중랑차고지~효창동)
11110359,662번(외발산동~여의나루역)
11110360,350번(송파공영차고지~노들역)
11110363,N13번(상계동차고지~송파공영차고지)
11110364,N13번(송파공영차고지~상계동차고지)
11110365,N16번(도봉산공영차고지~온수동차고지)
11110366,N16번(온수동차고지~도봉산공영차고지)
11110367,N30(강동공영차고지~서울역환승센터)
11110369,N61번(양천공영차고지~상계동차고지)
11110370,N61번(상계동차고지~양천공영차고지)
11110371,N62번(양천공영차고지~면목동차고지)
11110372,N62번(면목동차고지~양천공영차고지)
11110373,6640A번(양천차고지~양천차고지)
11110374,6640B번(양천차고지~양천차고지)
11110375,2115번(중랑공영차고지~서경대)
11110376,463(염곡동~국회의사당)
11110377,N15번(사당역~우이동)
11110378,N15번(우이동~사당역)
11110379,2312번(강동공영차고지~중랑공영차고지)
11110380,2312번(중랑공영차고지~강동공영차고지)
11110381,362번(송파공영차고지~여의도)
11110382,8777번(난지한강공원~월드컵경기장남측)
11110383,654번(방화동~노들역)
11110384,342번(강동차고지~압구정로데오역)
11110385,674번(신길운수~연세대)
11110386,173번(월계동~연세대)
11110387,6654번(해군회관~여의도역)
11110388,8761번(광흥창역~국회의사당역)
11110389,8771번(구산중학교~녹번역)
11110390,8551번(봉천역~노량진역)
11110391,8331번(마천사거리~잠실역)
11110392,7734번(진관공영차고지~홍대입구역)
11110393,773번(교하운정~불광역)
11110394,774번(문산선유리~서울역환승센터)
11110396,761번(진관차고지~영등포역)
11110401,02번(남산서울타워~동대입구)
11110408,6516번(양천차고지~박미고개)
11110409,3321번(강동차고지~강동구청)
11110410,3012번(송파차고지~동부이촌동)
11110413,121번(화계사~서울숲)
11110416,4211(염곡동~한양대동문앞)
11110418,242번(중랑공영차고지~개포시영아파트)
11110419,3322번(송파차고지~잠실종합운동장)
11110420,3426번(서울버스종점~청담동)
11110422,4435번(개포동~사당역)
11110423,N65(개화공영차고지~범일차고지)
11110424,N65(범일차고지~개화공영차고지)
11110428,은평08-1(백련산힐스테이트3차~새절역)
11110429,은평08-2(백련산힐스테이트3차~새절역)
11110430,452번(송파차고지~중대병원)
11110431,8221번(장안2동주민센터~답십리역)
11110432,8441번(은곡마을.LH이편한세상~수서역)
11110433,8552번(신림복지관~신림역)
11110434,741번(진관차고지~헌인릉입구)
11110435,708번(진관차고지~서울역)
11110500,강서07(생태공원~마곡역)
11110501,강남03(강남데시앙포레정문~은곡마을)
11110502,강남07(서울의료원~양재역)
11110503,강남05(구룡마을~석촌역)
11110504,강남06(세곡LH푸르지오아파트~코엑스)
11110506,강남01(일원동한솔아파트~코엑스)
11110507,강남02(강남구민체육관~양재역)
11110509,강동01(길동신동아아파트~강변역)
11110510,강동05(강동공영차고지~천호역)
11110512,강북01(아카데미하우스.통일교육원~수유역)
11110513,강북11(미아사거리~수유역)
11110514,강북10(솔샘터널~미아역)
11110515,강북02(본원정사~수유역)
11110516,강북03(빨래골~수유역)
11110517,강북05(번동초등학교~한일아파트)
11110518,강북06(강북보건소~미아사거리역)
11110519,성동07(대우아파트~약수역)
11110520,강북12(삼각산119안전센터~현대백화점)
11110521,강북09(미아사거리~수유역)
11110522,강서01(약수터~하이웨이주유소)
11110527,강서02(화곡동남부시장~하이웨이주유소)
11110528,강서03(약수터~한광고등학교)
11110529,용산04(서울역서부~용문시장)
11110530,강서04(염창역~경복여고)
11110531,강서06(벽산아파트~수명산입구)
11110535,관악01(봉천역~숭실대)
11110536,관악10(아카시아마을.민방위교육장~신림역)
11110537,관악02(낙성대역~서울대신공학관)
11110538,관악03(국사봉~신림역)
